tempo_hh:mm:ss,velocidade_Instantanea_kmh,velocidade_Media_kmh,distancia_km
13:43:18,1.140000,1.108799999999999,0.003008
13:43:19,1.200000,1.1393999999999997,0.003333
13:43:20,1.260000,1.1699999999999997,0.003675
13:43:21,1.320000,1.1997,0.004033
13:43:22,1.380000,1.2297599999999995,0.004408
13:43:23,1.440000,1.2599999999999996,0.004800
13:43:24,1.500000,1.2898285714285713,0.005208
13:43:25,1.559999,1.31985,0.005633
13:43:26,1.619999,1.3499999999999999,0.006075
13:43:27,1.679999,1.3798799999999998,0.006533
13:43:28,1.739999,1.409890909090909,0.007008
13:43:29,1.799999,1.4399999999999997,0.007500
13:43:30,1.859999,1.469907692307692,0.008008
13:43:31,1.919999,1.4999142857142858,0.008533
13:43:32,1.979999,1.53,0.009075
13:43:33,2.039999,1.5599249999999998,0.009633
13:43:34,2.099999,1.5899294117647058,0.010208
13:43:35,2.159999,1.6199999999999999,0.010800
13:43:36,2.219999,1.6499368421052631,0.011408
13:43:37,2.279999,1.6799400000000002,0.012033
13:43:38,2.339999,1.7100000000000002,0.012675
13:43:39,2.399999,1.7399454545454545,0.013333
13:43:40,2.459999,1.769947826086956,0.014008
13:43:41,2.519999,1.7999999999999998,0.014700
13:43:42,2.579998,1.829952,0.015408
13:43:43,2.639998,1.859953846153846,0.016133
13:43:44,2.699998,1.89,0.016875
13:43:45,2.759998,1.9199571428571425,0.017633
13:43:46,2.819998,1.949958620689655,0.018408
13:43:47,2.879998,1.9799999999999998,0.019200
13:43:48,2.939998,2.0099612903225808,0.020008
13:43:49,2.999998,2.0399625,0.020833
13:43:50,3.059998,2.07,0.021675
13:43:51,3.119998,2.099964705882353,0.022533
13:43:52,3.179998,2.1299657142857145,0.023408
13:43:53,3.239998,2.1599999999999997,0.024300
13:43:54,3.299998,2.1899675675675674,0.025208
13:43:55,3.359998,2.2199684210526316,0.026133
13:43:56,3.419998,2.2499999999999996,0.027075
13:43:57,3.479998,2.2799699999999996,0.028033
13:43:58,3.539998,2.309970731707317,0.029008
13:43:59,3.599997,2.34,0.030000
13:44:00,3.659997,2.3699720930232555,0.031008
13:44:01,3.719997,2.399972727272727,0.032033
13:44:02,3.779997,2.4299999999999997,0.033075
13:44:03,3.839997,2.459973913043478,0.034133
13:44:04,3.899997,2.4899744680851064,0.035208
13:44:05,3.959997,2.5199999999999996,0.036300
13:44:06,4.019997,2.549975510204081,0.037408
13:44:07,4.079997,2.5799759999999994,0.038533
13:44:08,4.139997,2.61,0.039675
